ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING
101074735;10107056;3029295;0;Muggenbergweg;43;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.596153443;47.45750182
101107972;10087186;3029355;0;Vogtackerweg;47;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584298521;47.45773312
101084047;10113461;3029147;0;Alemannenweg;25;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595464204;47.45761967
100341207;10154580;410608;0;Rttimatt;130;other_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584954503;47.45514201
100339490;10024292;410426;0;Bnenmattweg;6;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581799072;47.46032651
100341074;10024290;410482;0;Bergmattenweg;73;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.580176554;47.45860164
101151341;10051583;2351783;0;Keltenweg;28;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.596568788;47.4589403
101677715;10051582;245055176;0;Hauptstrasse;74e;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;31.01.2021;7.589762868;47.45797798
101383123;10113461;245000323;0;Alemannenweg;11a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593541691;47.45774816
100341188;10087186;410589;0;Vogtackerweg;4;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589481161;47.45683611
100339578;10186909;410502;0;Stellimattweg;6;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581979102;47.45822168
100341066;10024290;410474;0;Bergmattenweg;45;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581569056;47.45861792
101074737;10107056;3029297;0;Muggenbergweg;47;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.59603343;47.45727713
100341058;10024290;410466;0;Bergmattenweg;32;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581849087;47.4591932
101379617;10057781;245000251;0;Eichenweg;15a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586024738;47.45854941
101379293;10140408;245000087;0;Schlossgut;148b;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595172665;47.45315902
100339601;10057781;410527;0;Eichenweg;9;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586726973;47.45832366
100340724;10087185;410441;0;Schollenackerweg;2;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584740857;47.45945942
101688472;10087183;245056241;0;Im Noll;24;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586269597;47.46077962
